2025/09/07 22:27:24.192  97n27u5cmim1 [Merge:JobStart] Version: '3.3.008.01'. Command args: '-form=./dut.renov.auto.xatw -data=./p.dut.amostra3.renov.auto.xml -documentTag=Document -config=/DocOrigin/User/Config/CeleparPDF.prt -output=./Amostra_03_full.pdf -logfile=./Amostra_03_full.log $B="C:/DocOrigin/User/Forms/celepar/POC/Amostra 03" $E=C:/DocOrigin/DO/Bin $R=C:/DocOrigin $N=Merge $U=/DocOrigin/User $O=$U/Overrides $F=$U/Forms $C=$U/Config $S=$U/Scripts $L=$U/Logs $P=C:\DocOrigin\User\xpdf-tools-win-4.05\bin64; $T=$U/Tmp -message=$E/DocOrigin_EN.xml -FnfDataExts=jet;dat;fnf -JsonDataExts=json -XfdfDataExts=xfdf'. Current dir: 'C:\DocOrigin\User\Forms\celepar\POC\Amostra 03'.
2025/09/07 22:27:25.391 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#18 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.392 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#19 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.393 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#20 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.393 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#21 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.394 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#22 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.395 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#23 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.395 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#24 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.396 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#25 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.396 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#26 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.397 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#27 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.397 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#28 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.398 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#29 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.398 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#30 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.399 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#31 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.400 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#32 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
2025/09/07 22:27:25.400 W97n27u5cmim1 [Merge:PostnetBarSpaceWidthWarning] Bar/space pair width is 0.035". The width of the bar/space pairs should be between 0.045" and 0.050". (State:Process Field Formatting Doc#33 At:DUT.Renov.Auto.Capa.ContainerCapa.Capa.CEPNET)
